Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags
2018-07-15,1.07,43126773.22,13457479.92,12125207.59,908599.1,16635486.61,11924570.43,4460656.29,250259.89
2018-07-08,1.03,47848189.79,14624443.74,14184132.58,1169255.61,17870357.86,12817172.9,4735852.45,317332.51
2018-07-01,1.05,45572739.17,14978439.61,12542937.62,969238.95,17082122.99,11945298.31,4934540.62,202284.06
2018-06-24,1.04,44742749.88,14643774.28,12717017.35,1110724,16271234.25,11708299.17,4262204.76,300730.32
2018-06-17,1.09,44009084.78,14909830.72,12904472.84,782043.1,15412738.12,11486168.32,3707918.88,218650.92
2018-06-10,1.03,45613372.42,15949807.24,13691955.59,753786.21,15217823.38,11228599.99,3724800.5,264422.89
2018-06-03,1.07,44705039.05,15241658.25,12611264.58,828737.97,16023378.25,11035193.03,4684090.46,304094.76
2018-05-27,1.03,47105314.28,15644843.58,13548819.31,793658.51,17117992.88,11620663.52,5229855.39,267473.97
2018-05-20,1.02,44458798.3,15391298.2,12092088.69,736111.95,16239299.46,11427676.19,4549192.2,262431.07
2018-05-13,1,46371245.84,15432480.06,12367251.74,759855.73,17811658.31,13110016.21,4432536.78,269105.32
2018-05-06,0.89,63716144.15,21137400.46,19900871.87,1052499.15,21625372.67,15436246.72,5840414.83,348711.12
2018-04-29,1.07,43856758.99,14254036.95,13240108.54,744030.09,15618583.41,11122006.81,4208203.84,288372.76
2018-04-22,1.04,44313979.3,14522577.86,12709402.97,722558.85,16359439.62,11850825.63,4207588.22,301025.77
2018-04-15,1.03,47098677.68,15307339.31,13807126.47,894946.43,17089265.47,12283244.61,4522004.01,284016.85
2018-04-08,1.04,42964067.68,13410251.75,13040703.22,737515.63,15775597.08,10948345.06,4555612.68,271639.34
2018-04-01,1.1,41109688.72,13467728.25,10744041.46,732443.87,16165475.14,11826774.74,4055704.74,282995.66
2018-03-25,1.03,43409835.75,14130799.1,12125711.42,758801.12,16394524.11,12540327.19,3544729.39,309467.53
2018-03-18,1.05,41386314.12,13707389.51,11061051.69,645380.85,15972492.07,11712807.19,3988101.74,271583.14
2018-03-11,1.09,40449603.12,14089091.05,10758039.45,707578.82,14894893.8,11392828.89,3229556.62,272508.29
2018-03-04,1.07,40741214.05,14439547.46,11289307.37,571747.72,14440611.5,10832907.44,3339214.96,268489.1
2018-02-25,1.06,40021528.76,13829857.87,10415463.59,724330.16,15051877.14,10666942.78,4081397.72,303536.64
2018-02-18,1.08,36709887.49,13262751.42,10491918.44,552969.73,12402247.9,9023351.68,3151157.42,227738.8
2018-02-11,0.97,43167806.09,15870677.7,11541844.87,652856.58,15102426.94,10844852.22,4023485.04,234089.68
2018-02-04,0.87,62505646.52,21620180.9,20445501.03,1066830.22,19373134.37,13384586.8,5719096.61,269450.96
2018-01-28,1.09,40171640.84,14551799.5,12119884.61,575974.74,12923981.99,9749412.19,3041125.42,133444.38
2018-01-21,1.08,42939821.55,14218843.83,13929702.12,928815.12,13862460.48,9866218.28,3789722.9,206519.3
2018-01-14,1.2,37299945.22,12600918.24,11866197.84,652808.4,12180020.74,8128241.88,3917569.95,134208.91
2018-01-07,1.13,36703156.72,13730992.75,10781339.21,677714.86,11513109.9,8231766.23,3130919.1,150424.57